"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"09.09.2020","0,001294","0,001294","0,001294","0,001294","0,05%"
"08.09.2020","0,001293","0,001290","0,001296","0,001279","0,31%"
"07.09.2020","0,001289","0,001296","0,001302","0,001288","-0,54%"
"04.09.2020","0,001296","0,001290","0,001298","0,001289","0,54%"
"03.09.2020","0,001289","0,001296","0,001299","0,001288","-0,54%"
"02.09.2020","0,001296","0,001296","0,001304","0,001292","0,00%"
"01.09.2020","0,001296","0,001288","0,001302","0,001287","0,62%"
"31.08.2020","0,001288","0,001283","0,001292","0,001281","0,39%"
"28.08.2020","0,001283","0,001275","0,001286","0,001274","0,63%"
"27.08.2020","0,001275","0,001275","0,001283","0,001270","0,08%"
"26.08.2020","0,001274","0,001271","0,001276","0,001261","0,31%"
"25.08.2020","0,001270","0,001273","0,001280","0,001271","-0,16%"
"24.08.2020","0,001272","0,001261","0,001278","0,001260","0,95%"
"21.08.2020","0,001260","0,001272","0,001272","0,001259","-0,63%"
"20.08.2020","0,001268","0,001275","0,001278","0,001265","-0,47%"
"19.08.2020","0,001274","0,001259","0,001281","0,001258","1,27%"
"18.08.2020","0,001258","0,001237","0,001263","0,001237","1,70%"
"17.08.2020","0,001237","0,001253","0,001257","0,001236","-1,20%"
"14.08.2020","0,001252","0,001260","0,001263","0,001249","-0,56%"
"13.08.2020","0,001259","0,001262","0,001263","0,001257","-0,16%"
"12.08.2020","0,001261","0,001259","0,001267","0,001255","0,24%"
"11.08.2020","0,001258","0,001241","0,001268","0,001241","1,45%"
"10.08.2020","0,001240","0,001268","0,001276","0,001240","-2,05%"